07 числа 06 месяца 2017 года в 21:39:15 value_in_mm 52 in_inches2.0552547330145057
07 числа 06 месяца 2017 года в 21:39:15 value_in_mm 46 in_inches1.8181099561282164
07 числа 06 месяца 2017 года в 21:39:15 value_in_mm 52 in_inches2.0552547330145057
07 числа 06 месяца 2017 года в 21:39:15 value_in_mm 46 in_inches1.8181099561282164
07 числа 06 месяца 2017 года в 21:40:58 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:40:58 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:40:58 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:40:58 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:46:00 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:46:00 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:46:00 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:46:00 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:50:44 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:50:44 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:50:44 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:50:45 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:51:25 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:51:25 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:51:25 value_in_mm 52 in_inches 2.054523903595417
07 числа 06 месяца 2017 года в 21:51:26 value_in_mm 46 in_inches 1.8174634531805611
07 числа 06 месяца 2017 года в 21:59:28 value_in_mm 52 in_inches 2.047244094488189
07 числа 06 месяца 2017 года в 21:59:28 value_in_mm 46 in_inches 1.8110236220472442
07 числа 06 месяца 2017 года в 21:59:28 value_in_mm 52 in_inches 2.047244094488189
07 числа 06 месяца 2017 года в 21:59:28 value_in_mm 46 in_inches 1.8110236220472442
07 числа 06 месяца 2017 года в 22:00:27 value_in_mm 52 in_inches 2.051282051282051
